Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
CENT EDUC WILFREDO LEHNER,263.9348,0.0,8.65,10.0,6.0,6.5,10.0,4.75
COL ESTRADA DE MARIA AUXILIADORA,276.125,0.0,3.4299999999999997,10.0,5.0,10.0,9.15,10.0
INST SUP COOPERATIVO,290.4,0.0,6.85,10.0,5.0,10.0,10.0,10.0
COL TOMAS ALVA EDISON,297.24490000000003,4.0,9.95,10.0,5.0,8.25,8.1,4.0
COL CAFAM,310.6316,8.0,7.040000000000001,10.0,5.0,10.0,8.5,10.0
FUND INST TECNOLOGICO DEL SUR,291.7324,0.0,4.2,10.0,5.0,10.0,10.0,8.75
COL CRISTIANO SEMILLA DE VIDA,318.2041,0.0,5.73,10.0,6.0,10.0,10.0,10.0
INST INTEGRADO DE SUBA,245.8095,0.0,3.3,8.0,5.0,10.0,9.850000000000001,5.75
INST ALBERTO MERANI,370.85,6.0,9.65,10.0,5.0,9.0,3.8499999999999996,10.0
COL DIST TOMAS CARRASQUILLA,266.8045,0.0,5.43,6.0,6.0,10.0,8.55,10.0
COL DIST REP DE PANAMA,257.8571,0.0,0.03999999999999982,10.0,6.0,10.0,8.15,10.0
CENT EDUC DIST MANUELA AYALA DE GAITAN,281.4968,0.0,6.38,4.0,6.0,10.0,10.0,9.75
CENT EDUC DIST CLASS,265.6013,0.0,6.45,10.0,7.0,7.0,10.0,4.25
CENT EDUC DIST COMFENALCO NUEVA ROMA,274.74359999999996,2.0,9.8,10.0,5.0,7.5,10.0,5.75
INST EDUC DIST FE Y ALEGRIA SAN IGNACIO,277.188,4.0,6.9,10.0,5.0,6.75,10.0,3.5
CENT EDUC DIST RAMON DE ZUBIRIA,247.04120000000003,0.0,0.0,6.0,7.0,10.0,10.0,5.75
CENT EDUC DIST ISLA DEL SOL,271.6226,0.0,9.540000000000001,10.0,5.0,8.75,10.0,5.75
CENT EDUC DIST PAULO VI,265.65,0.0,8.14,8.0,7.5,9.75,10.0,6.25
LICEO NAL MAGDALENA ORTEGA DE NARIÑO,280.42269999999996,0.0,6.03,10.0,5.0,10.0,8.9,10.0
